This file has indices for 4 * 7 hole + 3 x 6h mask
       1      10.0000
      37      78      47      18      23      22      34
      76      27      36       0       1      52      46
      79      56      66      70      69      19      53
      10      14      12      13      58      57       2
      43      60       4      33      20      11      67
      24       3      80      77      28      71      61
      68      62       9      44       0       0       0
       1      10.0000
      33      80      28      24       1      13      53
      62       3      36      71      20      56      37
      78      11      23      27      79      43       0
      14      47      69       2      68      10      67
      19      58      34      57      44      70      12
      22      52      66      60       4      18      61
      46      77       9      76       0       0       0
       2      8.00000
       0       4       9      13      43      61      33
      36      12      14      18      70      46      27
      62      57      79      69      67      19      22
      78      52      47      53      56      11      68
      76       1      44      10      37      23       3
      24      28      20      34       2      77      60
      58      71      66      80       0       0       0
       2      8.00000
      11      34      19      57      78      28      10
      61      12      79      60       9      69      13
      47      62       0      52      46      53      77
      33      37      14      24      22       1      43
      80      56      68      71      76      23      66
      36      67      27      18       4      20      58
       3      70      44       2       0       0       0
       1      10.0000
      79      34      46      56      23      57      70
      60      11      19      61      58      20      67
      28      76      62       0      27      52       1
      36       3      22       2       4      71      47
      66      18      14      77      10      12       9
      24      80      33      37      69      68      43
      13      53      78      44       0       0       0
       3      2.00000
      11      18      37      61      20      80      68
      47      76      10      23      70       4      22
      19      79      62      36       9      46      27
      69      33      78      28       1      52      57
      53       2      13      77      67      66       3
       0      71      56      34      43      12      60
      14      44      24      58       0       0       0
       2      10.0000
      37      46      68      66      24      47      53
      23       3      28      36      43      77      76
      78      79       4      33      57      12      10
      70      22      71      52      27      20      13
       1      44      34      69       0      58      61
      67      19      60      80       2      62      56
      18      14       9      11       0       0       0
       3      10.0000
      14      44      53      43       4      46      37
      36      11      66      67      47      13      23
      77      71      34      70      33      27      12
      58      76       1      18      20      24      61
      69      22       9      56      28      60      10
      52      57      79       2      78      68      80
       0      19       3      62       0       0       0
       3      8.00000
      61      20      23      11      22      71      34
      44      36      80      68       4      57      60
      37      24       9      52      67      43      12
       3      62      28      46      33      79      18
      56      47      77       0      27      13      78
      76       2      69      19      70      10      58
       1      66      53      14       0       0       0
       4      10.0000
      10      68       1      67      56      53      58
      27      43      24       0      22      34      71
      61       4      76      78      37      28      66
      57      18       9      70      52      77      47
       2      12      36      19      60      69       3
      80      46      62      44      11      23      33
      13      79      20      14       0       0       0
       1      10.0000
      36      43      57      33      22      12      60
       0      66      34      53       3      56      68
      23       1       2      14      37      52      13
       4      24      27      77      80      71      44
      47      28      76      61      67       9      79
      62      69      19      46      11      20      18
      78      58      70      10       0       0       0
       2      8.00000
      22       4      36      66      33      10      47
      79      61      78      69      60      76      70
       3      44      71      23      19      62      58
      52      80      13      34      27      43      77
      11       2      53       1      57      68      20
      56      67      24       9      14      37      12
      18      46       0      28       0       0       0
       4      6.00000
      19      56      52      77      22      14       1
      27       4       2      36      67      60      13
      80      12      33      66      37      71      43
      34      23      18      58      70      28      46
      68       9      44      10       3      20      69
      57      78      76      24      11      47      62
       0      53      79      61       0       0       0
       3      6.00000
       0      23      44      24       2      20       3
      76      12      11      43      60      34      37
      57       4      36      78      46      61      22
      27      18      33       9      62      69      71
      14      56      80      70      66      58      10
      68      79      19      47      28       1      67
      52      53      77      13       0       0       0
       5      8.00000
      47       2      67      71      52      22      34
      12      77       3      57       1      37      28
       4      24      19      76      56      61      79
      53      66      43      27      13      14      23
      80      62       0      33      70      18      60
       9      10      46      68      44      58      20
      69      36      78      11       0       0       0
       4      6.00000
       2      71      14      43      37      60      58
      61       3      53      13      33      52      12
      80      79      36      56      70      11      77
      28      46       9      78       4      47      44
      76      27      67      18      68      66      23
      24       0       1      10      19      22      20
      69      57      34      62       0       0       0
       5      2.00000
      19      57      43      66      78      20      47
      68      14      13       9       3       1       4
      44      46       2      23      37      67      58
      33      52      62      69      24      12      34
       0      27      70      28      22      80      10
      71      11      18      53      61      36      60
      76      79      56      77       0       0       0
       5      6.00000
      70      71       9      22      80      61       0
       2      10       1      68      57      77      78
      18      24      23      14      13      58      11
      56      76      66      52      37      12      33
      67      36      28      79      19      20      60
      62      53      69      46      44      47       4
      43       3      34      27       0       0       0
       6      6.00000
      57       2      11      12      22      13      62
       9      18      46      80      56      43      69
       1      78      68      28      20      47      27
      33      37      14      58      71      36       3
      79      70      19      66      76      61      34
      44      24       0      77       4      10      23
      60      67      52      53       0       0       0
       6      6.00000
       4      61      76      22      13      67      20
      78      23      68       3      60      12      57
      27      66      19      56      28      70      71
      10       9      44      53      47      62      14
      24      58      33      18       2       1      37
      43      77      46      79      52      34      69
      80      36       0      11       0       0       0
       7      6.00000
      34       9      33      47      18      56      52
      23      43       3      76      37       0      11
       1      20      68       2      10      53      79
      77      36      46      70      67      61      57
      69      24      19      44      14      80      60
      28      66      71      62      78      12      22
       4      58      27      13       0       0       0
       8      6.00000
      56      70      44      13      37      20      27
       2      36      12      57      67       9      60
      61      62      28       0       3      24       4
      34      77      52      53      22      58      68
      18      10      76      46      71      43      23
      69      47      79      19      11      66       1
      80      14      33      78       0       0       0
       9      4.00000
      34      33      52      62      58      18      47
      12      11      22      70      77      43      68
      66      14       3      24      69      76      20
       9      27      46      67      10      78       1
       4      71      57      37      13      23      36
      80      79      19       2      53      61      60
      28       0      44      56       0       0       0
       4      2.00000
      66      28      77      44      43      80      60
      61      36      27      19      13      46      22
      12      10      53      76      78      57      37
       9      24       0       3       2      62      11
      47      67      14      71      70      20      56
       1       4      58      33      18      23      52
      34      79      69      68       0       0       0
       5      2.00000
      67      12      27      78      70      22      60
      69       9      68      13      28      19      11
      14      61       4      10      20      57      46
      80      53      23      37       1      71       3
      18      77      34      56      24      79      33
      36      66       0       2      58      52      44
      43      47      76      62       0       0       0
       7      4.00000
      76      68      67      46      24      47      66
       3       4       9      19      13       0      20
      33      79      44      78      70      61      53
      60      36      56      62      37      77      12
      57      52      27      22      18      34       1
      71      23       2      14      10      58      69
      11      28      80      43       0       0       0
       8      2.00000
      66      23      57      62       0      60      14
      12       1      27      10      76      13      33
       9      69       3      24      20      56      80
      77       4      71      78      43      79      19
      61      36      11      37      70       2      22
      34      53      44      18      68      52      58
      47      28      46      67       0       0       0
       9       0
      19      43      46      80      44      52      58
      79       2      68      69      61      37      24
      57      70      20      28      66      11      36
      27      78       1       9      12      33       4
      60      13      71      23      47       0      62
      14      56      76      53      10      67      22
       3      18      34      77       0       0       0
